Medellin,Antioquia,15,30
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
Villavicencio,Meta,15,30
Bogota,Cundinamarca,15,20
